# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
         4200      6.06869      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0780529     0.248079    0.0492038    0.0041158 -0.000506803  0.000831195            0            0            0    0.0821687     0.247573     0.050035
         4300      6.21651      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0      0.07506     0.237974     0.049347   0.00410688 -0.000508718  0.000824874            0            0            0    0.0791668     0.237466    0.0501719
         4400      6.36421      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0731252     0.232709    0.0487997   0.00408331  -0.00049519  0.000815301            0            0            0    0.0772085     0.232213     0.049615
         4500      6.51295      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0757495     0.239766    0.0477879   0.00402845 -0.000475077  0.000824145            0            0            0     0.079778     0.239291    0.0486121
         4600      6.66032      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0660264     0.209479    0.0467459   0.00400321 -0.000464489  0.000837747            0            0            0    0.0700296     0.209015    0.0475836
         4700      6.80967      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0672504     0.217311    0.0465778   0.00396398 -0.000445243  0.000851256            0            0            0    0.0712143     0.216865    0.0474291
         4800      6.95745      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0784728     0.250338    0.0466242   0.00391956 -0.000432657  0.000828694            0            0            0    0.0823924     0.249906    0.0474529
         4900      7.10404      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0751738     0.238364    0.0472186   0.00390261 -0.000421732  0.000799898            0            0            0    0.0790764     0.237942    0.0480185
         5000      7.25207      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0846731     0.265525    0.0471382   0.00392182 -0.000428237  0.000781089            0            0            0     0.088595     0.265096    0.0479192
         5100      7.39908      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0     0.083282     0.261191    0.0459699    0.0039191 -0.000434426  0.000781561            0            0            0    0.0872011     0.260757    0.0467515
         5200      7.54974      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0801342     0.248718    0.0460041   0.00389803 -0.000429102  0.000778137            0            0            0    0.0840323     0.248289    0.0467822
