# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
         4000      5.29629      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0565762     0.255096    0.0380599   0.00474882  -0.00083304  0.000618845            0            0            0     0.061325     0.254263    0.0386788
         4100      5.42947      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0676172     0.290202    0.0362191   0.00474689 -0.000823527  0.000614041            0            0            0    0.0723641     0.289378    0.0368331
         4200       5.5606      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0639684     0.275447    0.0358132   0.00474542 -0.000833714  0.000612606            0            0            0    0.0687139     0.274613    0.0364258
         4300      5.69179      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0652109     0.284545     0.036756   0.00475804 -0.000825057  0.000617324            0            0            0    0.0699689      0.28372    0.0373733
         4400      5.82282      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0655003     0.284466    0.0360476   0.00474692 -0.000831014  0.000617426            0            0            0    0.0702472     0.283635     0.036665
         4500      5.95348      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0648293      0.27933    0.0360933   0.00473699 -0.000826014  0.000618326            0            0            0    0.0695663     0.278504    0.0367117
         4600      6.08452      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0633918     0.275593    0.0360053    0.0047385 -0.000827464  0.000620922            0            0            0    0.0681303     0.274766    0.0366262
         4700      6.21569      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0559704     0.252573    0.0367942   0.00474156 -0.000831162  0.000615436            0            0            0    0.0607119     0.251741    0.0374096
         4800      6.34768      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0557178     0.252284    0.0370999   0.00473639 -0.000824149  0.000608936            0            0            0    0.0604542     0.251459    0.0377089
         4900      6.48127      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0634583     0.275522    0.0360339   0.00473563 -0.000826442   0.00060812            0            0            0    0.0681939     0.274695     0.036642
         5000      6.61515      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0666958     0.283109    0.0362153    0.0047406 -0.000826357  0.000611482            0            0            0    0.0714364     0.282283    0.0368268
         5100      6.74727      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0743144     0.309268    0.0356931   0.00474219 -0.000832607  0.000607752            0            0            0    0.0790566     0.308435    0.0363009
         5200      6.87908      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0606937     0.265522    0.0360571   0.00473117 -0.000837134  0.000604109            0            0            0    0.0654249     0.264685    0.0366612
         5300      7.01106      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0589597     0.261138    0.0355524   0.00472858 -0.000824551   0.00060328            0            0            0    0.0636883     0.260313    0.0361556
         5400      7.14234      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0564331     0.251854    0.0358505   0.00473579 -0.000831596  0.000604305            0            0            0    0.0611689     0.251023    0.0364548
         5500      7.27408      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0580515     0.258583     0.036367   0.00474766 -0.000826575  0.000599962            0            0            0    0.0627991     0.257756     0.036967
         5600      7.40537      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0636827     0.275776    0.0356503   0.00473443 -0.000825708  0.000596426            0            0            0    0.0684171     0.274951    0.0362467
         5700      7.53665      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0639887     0.274952    0.0359086   0.00471309 -0.000818068  0.000595213            0            0            0    0.0687018     0.274134    0.0365038
         5800      7.66804      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0643916     0.275724    0.0360933    0.0047034 -0.000813613  0.000593847            0            0            0     0.069095      0.27491    0.0366872
         5900      7.80029      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0     0.063881       0.2738    0.0355982   0.00469841 -0.000816355  0.000592229            0            0            0    0.0685795     0.272983    0.0361904
         6000      7.93465      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0603151     0.263159    0.0359569   0.00469782  -0.00081328  0.000593155            0            0            0    0.0650129     0.262345    0.0365501
         6100      8.06968      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0633181     0.272992    0.0352504   0.00469307  -0.00081715  0.000588695            0            0            0    0.0680112     0.272174     0.035839
         6200       8.2049      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0576809     0.253349    0.0355701   0.00469762 -0.000823687  0.000587073            0            0            0    0.0623786     0.252525    0.0361572
         6300      8.33992      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0611057     0.265195    0.0356207   0.00470083 -0.000819751  0.000583787            0            0            0    0.0658065     0.264376    0.0362045
         6400      8.47301      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0581353     0.255471    0.0353871   0.00469723 -0.000818058  0.000585679            0            0            0    0.0628325     0.254653    0.0359728
         6500       8.6058      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0615072     0.267121    0.0355876   0.00470161 -0.000812898  0.000583815            0            0            0    0.0662088     0.266308    0.0361714
         6600      8.73857      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0656215     0.279186    0.0356407   0.00470625 -0.000819631  0.000581896            0            0            0    0.0703278     0.278366    0.0362226
         6700      8.86992      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0634618     0.272213    0.0356347   0.00472975 -0.000831624  0.000584611            0            0            0    0.0681915     0.271382    0.0362193
         6800      9.00084      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0590965     0.260583    0.0352759   0.00475319 -0.000839817   0.00059496            0            0            0    0.0638497     0.259744    0.0358709
         6900      9.13165      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0554777     0.249112    0.0357956   0.00475835 -0.000841957   0.00060287            0            0            0    0.0602361      0.24827    0.0363985
         7000      9.26266      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0558729     0.249442    0.0360546   0.00475659  -0.00083643  0.000611005            0            0            0    0.0606295     0.248605    0.0366656
         7100      9.39434      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0     0.061358     0.266489    0.0355646   0.00474958 -0.000831721  0.000612833            0            0            0    0.0661076     0.265657    0.0361774
         7200      9.52606      1.52608  3.59088e-16  1.16573e-15   -0.0818834            0            0            0    0.0604008     0.263528    0.0360609   0.00474372 -0.000831544  0.000609825            0            0            0    0.0651446     0.262697    0.0366708
